Name,Country,Users,Purpose,Orbit_Class,Period_min,Launch_Date,Launch_Site,Launch_Vehicle
1HOPSAT,USA,Commercial,Earth Observation,LEO,96.08,11-12-2019,Satish Dhawan Space Centre,PSLV
3Cat-1,Spain,Civil,Technology Development,LEO,95,29-11-2018,Satish Dhawan Space Centre,PSLV
Aalto-1,Finland,Civil,Technology Development,LEO,94.7,23-06-2017,Satish Dhawan Space Centre,PSLV
AAUSat-4,Denmark,Civil,Earth Observation,LEO,95.9,25-04-2016,Guiana Space Center,Soyuz 2.1a
ABS-2,Multinational,Commercial,Communications,GEO,1436.03,06-02-2014,Guiana Space Center,Ariane 5 ECA
ABS-2A,Multinational,Commercial,Communications,GEO,1436.1,15-06-2016,Cape Canaveral,Falcon 9
ABS-3A,Multinational,Commercial,Communications,GEO,1436,02-03-2015,Cape Canaveral,Falcon 9
ABS-4,Multinational,Commercial,Communications,GEO,1436.1,13-03-2004,Cape Canaveral,Atlas 3
ABS-6,Multinational,Commercial,Communications,GEO,1436.08,26-09-1999,Baikonur Cosmodrome,Proton
ABS-7,Multinational,Commercial,Communications,GEO,1436.06,04-09-1999,Guiana Space Center,Ariane
USA 311,USA,Military,Earth Observation,GEO,1437.6,11-12-2020,Cape Canaveral,Delta 4 Heavy
USA 139,USA,Military,Earth Observation,GEO,1436.14,09-05-1998,Cape Canaveral,Titan IVA
USA 171,USA,Military,Earth Observation,GEO,1436.1,09-09-2003,Cape Canaveral,Titan IV
USA 202,USA,Military,Earth Observation,GEO,1438.8,18-01-2009,Cape Canaveral,Delta 4 Heavy
USA 223,USA,Military,Earth Observation,GEO,1436,21-11-2010,Cape Canaveral,Delta 4 Heavy
USA 237,USA,Military,Earth Observation,GEO,1436.1,29-06-2012,Cape Canaveral,Delta 4 Heavy
USA 268,USA,Military,Earth Observation,GEO,1437.19,11-06-2016,Cape Canaveral,Delta 4 Heavy
USA 235,USA,Military,Communications,GEO,1436.1,03-05-2012,Cape Canaveral,Atlas 5
USA 246,USA,Military,Communications,GEO,1436.1,18-09-2013,Cape Canaveral,Atlas 5
USA 288,USA,Military,Communications,GEO,1436.1,17-10-2018,Cape Canaveral,Atlas 5
USA 292,USA,Military,Communications,GEO,1436.2,08-08-2019,Cape Canaveral,Atlas 5
USA 298,USA,Military,Communications,GEO,1436,26-03-2020,Cape Canaveral,Atlas 5
Aeneas,USA,Government,Technology Development,LEO,97.4,13-09-2012,Vandenberg AFB,Atlas 5
Aeolus,ESA,Government,Earth Observation,LEO,92.4,22-08-2018,Guiana Space Center,Vega
Aerocube 10A,USA,Commercial,Technology Development,LEO,94.15,09-08-2019,Cygnus,Nanorack Deployer
Aerocube 10B,USA,Commercial,Technology Development,LEO,94.15,09-08-2019,Cygnus,Nanorack Deployer
Aerocube 11A,USA,Commercial,Technology Development,LEO,94.6,17-12-2018,Rocket Lab Launch Complex 1,Electron
Aerocube 11B,USA,Commercial,Technology Development,LEO,94.6,17-12-2018,Rocket Lab Launch Complex 1,Electron
Aerocube 12A,USA,Commercial,Technology Development,LEO,94.2,16-07-2018,Cygnus,Nanorack Deployer
Aerocube 12B,USA,Commercial,Technology Development,LEO,94.2,16-07-2018,Cygnus,Nanorack Deployer
Aerocube 14A,USA,Military,Technology Development,LEO,93.9,31-01-2020,Cygnus,Nanorack Deployer
Aerocube 14B,USA,Military,Technology Development,LEO,93.9,31-01-2020,Cygnus,Nanorack Deployer
Aerocube 15A,USA,Military,Technology Development,LEO,93.9,31-01-2020,Cygnus,Nanorack Deployer
Aerocube 5C,USA,Commercial,Technology Development,LEO,97.74,08-10-2015,Vandenberg AFB,Atlas 5
Aerocube 6A,USA,Commercial,Technology Development,LEO,97.88,19-06-2014,Dombarovsky Air Base,Dnepr
Aerocube 6B,USA,Commercial,Technology Development,LEO,97.88,19-06-2014,Dombarovsky Air Base,Dnepr
Aerocube 7A,USA,Commercial,Technology Development,LEO,97.4,08-10-2015,Vandenberg AFB,Atlas 5
Aerocube 7B,USA,Commercial,Technology Development,LEO,93.2,12-11-2017,Wallops Island Flight Facility,Antares 230
Aerocube 7C,USA,Commercial,Technology Development,LEO,93.2,12-11-2017,Wallops Island Flight Facility,Antares 230
Aerocube 8A,USA,Commercial,Technology Development,LEO,95.19,20-05-2015,Cape Canaveral,Atlas 5
Aerocube 8B,USA,Commercial,Technology Development,LEO,95.19,20-05-2015,Cape Canaveral,Atlas 5
Aerocube 8C,USA,Commercial,Technology Development,LEO,96.2,11-11-2016,Vandenberg AFB,Atlas 5
Aerocube 8D,USA,Commercial,Technology Development,LEO,96.23,11-11-2016,Vandenberg AFB,Atlas 5
Eutelsat 48D,Multinational,Commercial,Communications,GEO,1436.08,20-12-2008,Guiana Space Center,Ariane 5
AIM,USA,Government,Earth Observation,LEO,96.2,25-04-2007,Vandenberg AFB,Pegasus XL
AISat-1,Germany,Government,Communications,LEO,97.76,30-06-2014,Satish Dhawan Space Centre,PSLV-CA
AISSat-1,Norway,Government,Communications,LEO,97.2,12-07-2010,Satish Dhawan Space Centre,PSLV
AISSat-2,Norway,Government,Communications,LEO,97.27,08-07-2014,Baikonur Cosmodrome,Soyuz-2.1b
AIST-1,Russia,Commercial/Civil,Technology Development,LEO,96.9,28-12-2013,Plesetsk Cosmodrome,"Soyuz 2,1v"
AIST-2,Russia,Commercial/Civil,Technology Development,LEO,96.06,19-04-2013,Baikonur Cosmodrome,Soyuz 2.1a
AIST-2D,Russia,Commercial/Civil,Technology Development,LEO,94.18,27-04-2016,Vostochny Cosmodrome,Soyuz 2.1a
AISTechSat-2,Spain,Commercial,Earth Observation,LEO,96.4,03-12-2018,Vandenberg AFB,Falcon 9
AISTechSat-3,Spain,Commercial,Earth Observation,LEO,94.6,01-04-2019,Satish Dhawan Space Centre,PSLV
Al Yah-3,United Arab Emirates,Commercial,Communications,GEO,1436,25-01-2018,Guiana Space Center,Ariane 5
Alcomsat,Algeria,Government,Communications,GEO,1436.1,10-12-2017,Xichang Satellite Launch Center,Long March 3B
ALE-2,Japan,Commercial,Earth Science,LEO,92.06,06-12-2019,Rocket Lab Launch Complex 1,Electron
Al-Farabi-2,Kazakhstan,Civil,Technology Development,LEO,96.2,03-12-2018,Vandenberg AFB,Falcon 9
ALiCE,USA,Military,Technology Development,LEO,98,06-12-2013,Vandenberg AFB,Atlas 5
Alsat-2B,Algeria,Government,Earth Observation,LEO,97.7,26-09-2016,Satish Dhawan Space Centre,PSLV
Alsat-1B,Algeria,Government,Earth Observation,LEO,98.4,26-09-2016,Satish Dhawan Space Centre,PSLV
AlSat-1N,Algeria,Government,Technology Development,LEO,98.3,26-09-2016,Satish Dhawan Space Centre,PSLV
Alsat-2A,Algeria,Government,Earth Observation,LEO,98.2,12-07-2010,Satish Dhawan Space Centre,PSLV
Amazonas-2,Spain,Commercial,Communications,GEO,1436.08,01-10-2009,Guiana Space Center,Ariane 5
Amazonas-3,Spain,Commercial,Communications,GEO,1436.05,07-02-2013,Guiana Space Center,Ariane 5 ECA
Amazonas-4A,Spain,Commercial,Communications,GEO,1436.24,22-03-2014,Guiana Space Center,Ariane 5 ECA
Amazonas-5,Spain,Commercial,Communications,GEO,1436.11,12-09-2017,Baikonur Cosmodrome,Proton
AMC-1,USA,Commercial,Communications,GEO,1436.1,08-09-1996,Cape Canaveral,Atlas 2A
AMC-11,USA,Commercial,Communications,GEO,1436.07,19-05-2004,Cape Canaveral,Atlas 2AS
AMC-15,USA,Commercial,Communications,GEO,1436.08,14-10-2004,Baikonur Cosmodrome,Proton M
AMC-16,USA,Commercial,Communications,GEO,1436.1,17-12-2004,Cape Canaveral,Atlas 5
AMC-18,USA,Commercial,Communications,GEO,1436.1,08-12-2006,Guiana Space Center,Ariane 5
AMC-2,USA,Commercial,Communications,GEO,1436.1,30-01-1997,Guiana Space Center,Ariane 44L
AMC-21,USA,Commercial,Communications,GEO,1436.1,14-08-2008,Guiana Space Center,Ariane 5 ECA
AMC-4,USA,Commercial,Communications,GEO,1436.1,13-11-1999,Guiana Space Center,Ariane 44LP
AMC-6,USA,Commercial,Communications,GEO,1436.12,22-10-2000,Baikonur Cosmodrome,Proton K
AMC-8,USA,Commercial,Communications,GEO,1436.07,19-12-2000,Guiana Space Center,Ariane 5G
AmGU-1,Russia,Civil,Space Science,LEO,95.2,05-07-2019,Vostochny Cosmodrome,Soyuz 2.1b
Amos 17,Israel,Military/Commercial,Communications,GEO,1436.04,06-08-2019,Cape Canaveral,Falcon 9
Amos 3,Israel,Military/Commercial,Communications,GEO,1436.1,28-04-2008,Baikonur Cosmodrome,Zenit 3SLB
Amos 4,Israel,Military/Commercial,Communications,GEO,1432,31-08-2013,Baikonur Cosmodrome,Zenit 2SB
Amsat-Oscar 7,USA,Civil,Communications,LEO,114.9,15-11-1974,Vandenberg AFB,Delta 2310
ANASIS-II,South Korea,Military,Communications,GEO,1436.1,20-07-2020,Cape Canaveral,Falcon 9
ANDESITE Mule,USA,Civil,Space Science/Technology Demonstration,LEO,96.5,13-06-2020,Rocket Lab Launch Complex 1,Electron
ANGELS,ESA,Government,Communications,LEO,94.9,18-12-2019,Guiana Space Center,Soyuz
Anik F1,Canada,Commercial,Communications,GEO,1436.08,21-11-2000,Guiana Space Center,Ariane 44L
Anik F1R,Canada,Commercial,Communications,GEO,1436.1,09-09-2005,Baikonur Cosmodrome,Proton M
Anik F2,Canada,Commercial,Communications,GEO,1436.08,18-07-2004,Guiana Space Center,Ariane 5
Anik F3,Canada,Commercial,Communications,GEO,1436.1,09-04-2007,Baikonur Cosmodrome,Proton M
Anik G1,Canada,Commercial,Communications,GEO,1436.08,15-04-2013,Baikonur Cosmodrome,Proton M
Aoba-VELOX 4,Japan,Civil,Technology Development,LEO,94.6,18-01-2019,Uchinoura Space Center,Epsilon
AprizeSat 1,Argentina,Commercial,Communications/Technology Development,LEO,99.4,29-06-2004,Baikonur Cosmodrome,Dnepr
AprizeSat 10,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,98,19-06-2014,Dombarovsky Air Base,Dnepr
AprizeSat 2,Argentina,Commercial,Communications/Technology Development,LEO,100.3,29-06-2004,Baikonur Cosmodrome,Dnepr
AprizeSat 3,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,97,29-07-2009,Baikonur Cosmodrome,Dnepr
AprizeSat 4,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,97.5,29-07-2009,Baikonur Cosmodrome,Dnepr
AprizeSat 5,Canada,Commercial,Communications,LEO,97.8,17-08-2011,Dombarovsky Air Base,Dnepr
AprizeSat 7,Canada,Commercial,Communications,LEO,97.17,21-11-2013,Dombarovsky Air Base,Dnepr
AprizeSat 8,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,97.99,21-11-2013,Dombarovsky Air Base,Dnepr
