Temperature,Luminosity,Radius,Star_type,Star_color
3068,0.0024,0.17,Brown Dwarf,Red
3042,0.0005,0.1542,Brown Dwarf,Red
2600,0.0003,0.102,Brown Dwarf,Red
2800,0.0002,0.16,Brown Dwarf,Red
1939,0.000138,0.103,Brown Dwarf,Red
2840,0.00065,0.11,Brown Dwarf,Red
2637,0.00073,0.127,Brown Dwarf,Red
2600,0.0004,0.096,Brown Dwarf,Red
2650,0.00069,0.11,Brown Dwarf,Red
2700,0.00018,0.13,Brown Dwarf,Red
3600,0.0029,0.51,Red Dwarf,Red
3129,0.0122,0.3761,Red Dwarf,Red
3134,0.0004,0.196,Red Dwarf,Red
3628,0.0055,0.393,Red Dwarf,Red
2650,0.0006,0.14,Red Dwarf,Red
3340,0.0038,0.24,Red Dwarf,Red
2799,0.0018,0.16,Red Dwarf,Red
3692,0.00367,0.47,Red Dwarf,Red
3192,0.00362,0.1967,Red Dwarf,Red
3441,0.039,0.351,Red Dwarf,Red
25000,0.056,0.0084,White Dwarf,Blue White
7740,0.00049,0.01234,White Dwarf,White
7220,0.00017,0.011,White Dwarf,White
8500,0.0005,0.01,White Dwarf,White
16500,0.013,0.014,White Dwarf,Blue White
12990,0.000085,0.00984,White Dwarf,Yellowish White
8570,0.00081,0.0097,White Dwarf,Blue white
7700,0.00011,0.0128,White Dwarf,Yellowish White
11790,0.00015,0.011,White Dwarf,Yellowish White
7230,0.00008,0.013,White Dwarf,Pale yellow orange
39000,204000,10.6,Main Sequence,Blue
30000,28840,6.3,Main Sequence,Blue-white
15276,1136,7.2,Main Sequence,Blue-white
9700,74,2.89,Main Sequence,Whitish
5800,0.81,0.9,Main Sequence,yellow-white
8052,8.7,1.8,Main Sequence,Whitish
6757,1.43,1.12,Main Sequence,yellow-white
6380,1.35,0.98,Main Sequence,yellow-white
5936,1.357,1.106,Main Sequence,yellow-white
5587,0.819,0.99,Main Sequence,yellow-white
3826,200000,19,SuperGiant,Red
3365,340000,23,SuperGiant,Red
3270,150000,88,SuperGiant,Red
3200,195000,17,SuperGiant,Red
3008,280000,25,SuperGiant,Red
3600,320000,29,SuperGiant,Red
3575,123000,45,SuperGiant,Red
3574,200000,89,SuperGiant,Red
3625,184000,84,SuperGiant,Red
33750,220000,26,SuperGiant,Blue
3490,270000,1520,HyperGiant,Red
3750,283000,1260,HyperGiant,Red
3834,272000,1183,HyperGiant,Red
